Teorico,Practico,Time[s],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],dist_Acum
1.0,1.0,0.0,-0.154728,-78.486255,5.5,0.0,2802,0.0
,,3.0,-0.154566,-78.486295,5.888888888888889,18.560386158822965,2801,18.560386158822965
,,8.0,-0.154263,-78.486325,6.111111111111111,33.867428223834324,2805,52.42781438265729
,,13.0,-0.154001,-78.486371,5.138888888888889,29.587968740370343,2805,82.01578312302763
,,17.0,-0.153835,-78.486378,3.9444444444444446,18.48056135760801,2806,100.49634448063564
,,17.0,-0.153835,-78.486378,3.9444444444444446,0.0,2806,100.49634448063564
,,18.0,-0.153805,-78.486361,3.8333333333333335,3.835410324559442,2806,104.33175480519509
,,19.0,-0.15378,-78.486336,4.0,3.932561384733018,2806,108.26431618992811
,,20.0,-0.15376,-78.486303,4.555555555555555,4.2920768650136285,2807,112.55639305494174
,,22.0,-0.15374,-78.486223,5.194444444444445,9.172215942230013,2808,121.72860899717175
,,27.0,-0.153726,-78.485951,6.722222222222222,30.294454824033537,2808,152.02306382120528
,,32.0,-0.153693,-78.48576,4.861111111111111,21.559583470380815,2808,173.5826472915861
,,37.0,-0.153653,-78.485516,5.194444444444445,27.502253133012875,2807,201.084900424599
,,42.0,-0.153608,-78.485248,6.0,30.226793362488383,2807,231.3116937870874
,,47.0,-0.15357,-78.48501,4.416666666666667,26.80791120662265,2806,258.11960499371
,,52.0,-0.153546,-78.484893,1.2222222222222223,13.284820089194948,2807,271.404425082905
,,57.0,-0.153546,-78.484893,0.0,0.0,2807,271.404425082905
,,76.0,-0.153536,-78.484846,1.5277777777777777,5.344803715106135,2810,276.74922879801113
,,78.0,-0.153538,-78.484791,3.3333333333333335,6.121662262092955,2811,282.8708910601041
,,79.0,-0.153548,-78.484761,3.0833333333333335,3.5173847996914827,2812,286.38827585979556
,,80.0,-0.153565,-78.484738,2.9166666666666665,3.181243625245412,2811,289.569519485041
,,81.0,-0.153583,-78.484723,2.4166666666666665,2.606194469620456,2810,292.17571395466143
,,82.0,-0.153605,-78.484713,2.4444444444444446,2.6879887233436626,2811,294.8637026780051
,,83.0,-0.15363,-78.484713,2.7777777777777777,2.7807458307404564,2811,297.64444850874554
,,84.0,-0.153658,-78.484718,3.4722222222222223,3.1637014870443916,2812,300.8081499957899
,,89.0,-0.153835,-78.484746,5.805555555555555,19.93249608877337,2809,320.74064608456325
,,94.0,-0.154113,-78.484781,8.88888888888889,31.165994121002104,2810,351.90664020556534
,,99.0,-0.15463,-78.484845,9.75,57.94476182720051,2806,409.85140203276586
,,104.0,-0.15511,-78.484906,10.63888888888889,53.819721497503195,2805,463.671123530269
,,109.0,-0.155575,-78.484966,9.61111111111111,52.15065901204069,2809,515.8217825423097
,,114.0,-0.156001,-78.485008,9.13888888888889,47.613643089948766,2811,563.4354256322586
,,119.0,-0.15639,-78.485068,7.611111111111111,43.780064230904124,2813,607.2154898631627
,,121.0,-0.156516,-78.48511,7.083333333333333,14.773058396605597,2813,621.9885482597683
