Archivo,Area 1,Area 2,Area 3,Area 4,Area 5,Area 6,Area 7,Area 8,Area 9,Area 10,Area 11,Area 12,Area 13,Area 14,Area 15,Area 16,Area 17,Area 18,Area 19,Area 20,Area 21,Area 22,Area 23,Area 24,Area 25
E1_CICLO_SurNorte_FECHA(02_05_2024)_HoraSalida(14h59)_HoraLlegada(16h57).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(02_05_2024)_HoraSalida(17h30)_HoraLlegada(19h32).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(03_04_2024)_HoraSalida(06h35)_HoraLlegada(08h19).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(03_04_2024)_HoraSalida(14h10)_HoraLlegada(15h52).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,Si,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(03_04_2024)_HoraSalida(15h56)_HoraLlegada(17h46).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(04_04_2024)_HoraSalida(06h36)_HoraLlegada(08h18).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(04_04_2024)_HoraSalida(08h28)_HoraLlegada(10h10).csv,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(04_04_2024)_HoraSalida(13h58)_HoraLlegada(15h50).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(04_04_2024)_HoraSalida(16h00)_HoraLlegada(17h45).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(05_04_2024)_HoraSalida(06h37)_HoraLlegada(08h23).csv,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,No
E1_CICLO_SurNorte_FECHA(05_04_2024)_HoraSalida(08h29)_HoraLlegada(10h17).csv,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(06_05_2024)_HoraSalida(16h48)_HoraLlegada(18h52).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(08_04_2024)_HoraSalida(06h36)_HoraLlegada(08h19).csv,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,No,Si,No,No,No,No,No,No
E1_CICLO_SurNorte_FECHA(08_04_2024)_HoraSalida(08h27)_HoraLlegada(10h15).csv,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(09_04_2024)_HoraSalida(06h38)_HoraLlegada(08h33).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,Si,No,Si,No,No,No,No,No,No
E1_CICLO_SurNorte_FECHA(09_05_2024)_HoraSalida(14h50)_HoraLlegada(16h43).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(09_05_2024)_HoraSalida(16h59)_HoraLlegada(19h15).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,No
E1_CICLO_SurNorte_FECHA(10_05_2024)_HoraSalida(06h48)_HoraLlegada(08h41).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,Si,No,No,No,No,No,No,No,No
E1_CICLO_SurNorte_FECHA(10_05_2024)_HoraSalida(08h45)_HoraLlegada(10h45).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,Si,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(10_05_2024)_HoraSalida(16h17)_HoraLlegada(18h27).csv,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No
E1_CICLO_SurNorte_FECHA(11_04_2024)_HoraSalida(14h07)_HoraLlegada(15h53).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(12_04_2024)_HoraSalida(14h05)_HoraLlegada(15h50).csv,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(13_05_2024)_HoraSalida(14h01)_HoraLlegada(15h56).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,Si,No,Si,No,No,No,No,No,No
E1_CICLO_SurNorte_FECHA(13_05_2024)_HoraSalida(16h00)_HoraLlegada(17h58).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,Si,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(14_05_2024)_HoraSalida(15h01)_HoraLlegada(16h52).csv,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(14_05_2024)_HoraSalida(17h02)_HoraLlegada(19h08).csv,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(16_04_2024)_HoraSalida(14h37)_HoraLlegada(16h24).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,No
E1_CICLO_SurNorte_FECHA(17_05_2024)_HoraSalida(16h37)_HoraLlegada(18h41).csv,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,Si,No,Si,No,No,No,No,No,Si
E1_CICLO_SurNorte_FECHA(25_04_2024)_HoraSalida(14h49)_HoraLlegada(16h41).csv,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No
